id,firmano,bolumid,frmid,kont,konttr,konten,yetkialan,sfirmano,havuz,deguser,degtarsaat,olususer,olustarsaat,anafrmid,fat_fis_kont_id,Modul,kont_menu,Rap_id
264,,2,10,yenile,Yenile,,,,,,,,,,,,,
265,,2,10,ToolButton2,Grup Ekle,,,,,,,,,,,,,
266,,2,10,ToolButton13,Grup Düzelt,,,,,,,,,,,,,
267,,2,10,ToolButton3,Grup Sil,,True,,,,,,,,,,,
268,,2,10,ToolButton1,Grup Kapa,,,,,,,,,,,,,
269,,2,10,tbtnFullCollapse,Grup Kapa,,,,,,,,,,,,,
270,,2,10,tbtnFullExpand,Grup Aç,,,,,,,,,,,,,
271,,2,10,ToolButton4,ToolButton4,,,,,,,,,,,,,
272,,2,10,cxButton3,Maaş Avans,,True,,,,,,,,,,,
273,,2,10,cxButton4,B / A  Dekont,,True,,,,,,,,,,,
274,,2,10,cxButton6,Maaş Tahakkuk,,True,,,,,,,,,,,
275,,2,10,butcik,Çıkış - ESC,,,,,,,,,,,,,
276,,2,10,butyeni,Yeni Kart,,True,,,,,,,,,,,
277,,2,10,butbildeg,Bilgi Değiştir,,True,,,,,,,,,,,
278,,2,10,buthrk,Hareket Dökümü,,True,,,,,,,,,,,
279,,2,10,btnveresi,Veresiye Fiş İşlemleri,,True,,,,,,,,,,,
280,,2,10,YaniTank1,Yeni Kart,,True,,,,,,,,,,,
281,,2,10,Bilgincele1,Bilgi İncele,,,,,,,,,,,,,
282,,2,10,BilgiDeitir1,Bilgi Değiştir,,True,,,,,,,,,,,
283,,2,10,HareketDkm1,Hareket Dökümü,,True,,,,,,,,,,,
284,,2,10,VeresiyeFilemleri1,Veresiye Fiş İşlemleri,,True,,,,,,,,,,,
285,,2,10,N2,-,,,,,,,,,,,,,
286,,2,10,FAtura1,Maaş Avans,,True,,,,,,,,,,,
287,,2,10,MaaTahakuk1,Maaş Tahakuk,,True,,,,,,,,,,,
288,,2,10,BAGirii1,B / A Dekont,,True,,,,,,,,,,,
289,,2,10,N1,-,,,,,,,,,,,,,
290,,2,10,ankSil1,Kart Sil,,True,,,,,,,,,,,
291,,2,10,SilinmiKartGeriAl1,Silinmiş Kartı Geri Al,,True,,,,,,,,,,,
292,,2,10,N3,-,,,,,,,,,,,,,
293,,2,10,Silinmi1,Silinmiş Kayıtları Göster,,True,,,,,,,,,,,
294,,2,11,ToolButton2,Grup Aç,,,,,,,,,,,,,
295,,2,11,ToolButton14,Grup Düzelt,,,,,,,,,,,,,
296,,2,11,ToolButton3,Grup Sil,,True,,,,,,,,,,,
297,,2,11,ToolButton1,Grup Kapa,,,,,,,,,,,,,
298,,2,11,tbtnFullCollapse,Grup Kapa,,,,,,,,,,,,,
299,,2,11,tbtnFullExpand,Grup Aç,,,,,,,,,,,,,
300,,2,11,ToolButton4,ToolButton4,,,,,,,,,,,,,
301,,2,11,tbtnPageSetup,Sayfa Ayarı,,,,,,,,,,,,,
302,,2,11,tbtnPreview,Ön İzleme,,,,,,,,,,,,,
303,,2,11,tbtnPrint,Print,,,,,,,,,,,,,
304,,2,11,tbtnDesigner,Dizayn,,,,,,,,,,,,,
305,,2,11,ToolButton6,Excel,,,,,,,,,,,,,
306,,2,11,ToolButton7,Grup Kapa,,,,,,,,,,,,,
307,,2,11,ToolButton8,Grup Kapa,,,,,,,,,,,,,
308,,2,11,ToolButton9,Grup Aç,,,,,,,,,,,,,
309,,2,11,ToolButton10,ToolButton4,,,,,,,,,,,,,
310,,2,11,ToolButton13,Başlangıç Ayarı,,,,,,,,,,,,,
311,,2,11,ToolButton15,Genişlik Ayarı,,,,,,,,,,,,,
312,,2,11,ToolButton16,Grup Düzelt,,,,,,,,,,,,,
313,,2,11,yenile,Yenile,,,,,,,,,,,,,
314,,2,11,butcik,Çıkış,,,,,,,,,,,,,
315,,2,11,butyeni,Yeni Kart,,True,,,,,,,,,,,
316,,2,11,buthrk,Hareket Dökümü,,True,,,,,,,,,,,
317,,2,11,butbildeg,Bilgi Değiştir,,True,,,,,,,,,,,
318,,2,11,butfat,Fatura,,True,,,,,,,,,,,
319,,2,11,cxButton1,Tahsilat-Ödeme,,True,,,,,,,,,,,
320,,2,11,cxButton3,B / A  Dekont,,True,,,,,,,,,,,
321,,2,11,cxButton5,Gider Fişi,,True,,,,,,,,,,,
322,,2,11,btnveresi,Veresiye Fiş İşlemleri,,True,,,,,,,,,,,
323,,2,11,YaniTank1,Yeni Kart,,True,,,,,,,,,,,
324,,2,11,Bilgincele1,Bilgi İncele,,,,,,,,,,,,,
325,,2,11,BilgiDeitir1,Bilgi Değiştir,,True,,,,,,,,,,,
326,,2,11,HareketDkm1,Hareket Dökümü,,True,,,,,,,,,,,
327,,2,11,VeresiyeFi1,Gider Fişi,,True,,,,,,,,,,,
328,,2,11,FAtura1,Fatura,,True,,,,,,,,,,,
329,,2,11,ahsilat1,Tahsilat,,True,,,,,,,,,,,
330,,2,11,BADekontu1,B / A Dekontu,,True,,,,,,,,,,,
331,,2,11,N1,-,,,,,,,,,,,,,
332,,2,11,ankSil1,Kart Sil,,True,,,,,,,,,,,
333,,2,11,SilinmiKartGeriAl1,Silinmiş Kartı Geri Al,,True,,,,,,,,,,,
334,,2,11,N2,-,,,,,,,,,,,,,
335,,2,11,Silinmi1,Silinmiş Kayıtları Göster,,True,,,,,,,,,,,
336,,2,12,ToolButton2,Grup Ekle,,,,,,,,,,,,,
337,,2,12,ToolButton5,Grup Düzelt,,,,,,,,,,,,,
338,,2,12,ToolButton3,Grup Sil,,True,,,,,,,,,,,
339,,2,12,ToolButton1,Grup Kapa,,,,,,,,,,,,,
340,,2,12,tbtnFullCollapse,Grup Kapa,,,,,,,,,,,,,
341,,2,12,tbtnFullExpand,Grup Aç,,,,,,,,,,,,,
342,,2,12,ToolButton4,ToolButton4,,,,,,,,,,,,,
343,,2,12,tbtnPageSetup,Sayfa Ayarı,,,,,,,,,,,,,
344,,2,12,tbtnPreview,Ön İzleme,,,,,,,,,,,,,
345,,2,12,tbtnPrint,Print,,,,,,,,,,,,,
346,,2,12,tbtnDesigner,Dizayn,,,,,,,,,,,,,
347,,2,12,ToolButton6,Excel,,,,,,,,,,,,,
348,,2,12,ToolButton7,Grup Kapa,,,,,,,,,,,,,
349,,2,12,ToolButton13,Başlangıç Ayarı,,,,,,,,,,,,,
350,,2,12,ToolButton8,Genişlik Ayarı,,,,,,,,,,,,,
351,,2,12,ToolButton11,Çıkış - ESC,,,,,,,,,,,,,
352,,2,12,yenile,Yenile,,,,,,,,,,,,,
353,,2,12,butcik,Çıkış -ESC,,,,,,,,,,,,,
354,,2,12,butyeni,Yeni Kart,,True,,,,,,,,,,,
355,,2,12,butbildeg,Bilgi Değiştir,,True,,,,,,,,,,,
356,,2,12,buthrk,Hareket Dökümü,,True,,,,,,,,,,,
357,,2,12,cxButton1,Banka Virman,,True,,,,,,,,,,,
358,,2,12,cxButton3,Bankadan Döviz Al / Sat,,True,,,,,,,,,,,
359,,2,12,cxButton2,Havale / EFT,,True,,,,,,,,,,,
360,,2,12,b_a_dekont,B / A  Dekont,,True,,,,,,,,,,,
361,,2,12,YaniTank1,Yeni Kart,,True,,,,,,,,,,,
362,,2,12,Bilgincele1,Bilgi İncele,,,,,,,,,,,,,
363,,2,12,BilgiDeitir1,Bilgi Değiştir,,True,,,,,,,,,,,
364,,2,12,HareketDkm1,Hareket Dökümü,,True,,,,,,,,,,,
365,,2,12,HavaleEFT1,Havale / EFT,,True,,,,,,,,,,,
366,,2,12,BankaVirman1,Banka Virman,,True,,,,,,,,,,,
367,,2,12,BADekont1,B / A Dekont,,True,,,,,,,,,,,
368,,2,12,BAnkadanDvizAlSat1,Bankadan Döviz Al / Sat,,True,,,,,,,,,,,
369,,2,12,N1,-,,,,,,,,,,,,,
370,,2,12,ankSil1,Kart Sil,,True,,,,,,,,,,,
371,,2,12,SilinmiKartGeriAl1,Silinmiş Kartı Geri Al,,True,,,,,,,,,,,
372,,2,12,N2,-,,,,,,,,,,,,,
373,,2,12,Silinmi1,Silinmiş Kayıtları Göster,,True,,,,,,,,,,,
374,,2,13,ToolButton2,Grup Ekle,,,,,,,,,,,,,
375,,2,13,ToolButton16,Grup Düzelt,,,,,,,,,,,,,
376,,2,13,ToolButton3,Grup Sil,,True,,,,,,,,,,,
377,,2,13,ToolButton1,Grup Kapa,,,,,,,,,,,,,
378,,2,13,tbtnFullCollapse,Grup Kapa,,,,,,,,,,,,,
379,,2,13,tbtnFullExpand,Grup Aç,,,,,,,,,,,,,
380,,2,13,ToolButton4,ToolButton4,,,,,,,,,,,,,
381,,2,13,tbtnPageSetup,Sayfa Ayarı,,,,,,,,,,,,,
382,,2,13,tbtnPreview,Ön İzleme,,,,,,,,,,,,,
383,,2,13,tbtnPrint,Print,,,,,,,,,,,,,
384,,2,13,tbtnDesigner,Dizayn,,,,,,,,,,,,,
385,,2,13,ToolButton6,Excel,,,,,,,,,,,,,
386,,2,13,ToolButton7,Grup Kapa,,,,,,,,,,,,,
387,,2,13,ToolButton8,Grup Kapa,,,,,,,,,,,,,
388,,2,13,ToolButton9,Grup Aç,,,,,,,,,,,,,
389,,2,13,ToolButton10,ToolButton4,,,,,,,,,,,,,
390,,2,13,ToolButton24,Başlangıç Ayarı,,,,,,,,,,,,,
391,,2,13,ToolButton25,Genişlik Ayarı,,,,,,,,,,,,,
392,,2,13,ToolButton26,ToolButton26,,,,,,,,,,,,,
393,,2,13,yenile,Yenile,,,,,,,,,,,,,
394,,2,13,butyeni,Yeni Kart,,True,,,,,,,,,,,
395,,2,13,butcik,Çıkış - ESC,,,,,,,,,,,,,
396,,2,13,butbildeg,Bilgi Değiştir,,True,,,,,,,,,,,
397,,2,13,butpuan,Puan Dökümü,,True,,,,,,,,,,,
398,,2,13,cxButton4,Puan İşlemleri,,True,,,,,,,,,,,
399,,2,13,buthrk,Hareket Dökümü,,True,,,,,,,,,,,
400,,2,13,YaniTank1,Yeni Kart,,True,,,,,,,,,,,
401,,2,13,Bilgincele1,Bilgi İncele,,,,,,,,,,,,,
402,,2,13,BilgiDeitir1,Bilgi Değiştir,,True,,,,,,,,,,,
403,,2,13,HareketDkm1,Puan Dökümü,,True,,,,,,,,,,,
404,,2,13,FAtura1,Puan İşlemleri,,True,,,,,,,,,,,
405,,2,13,N1,-,,,,,,,,,,,,,
406,,2,13,ankSil1,Kart Sil,,True,,,,,,,,,,,
407,,2,13,SilinmiKartGeriAl1,Silinmiş Kartı Geri Al,,True,,,,,,,,,,,
408,,2,13,N2,-,,,,,,,,,,,,,
409,,2,13,Silinmi1,Silinmiş Kayıtları Göster,,True,,,,,,,,,,,
410,,2,14,tbtnPageSetup,Sayfa Ayarı,,,,,,,,,,,,,
411,,2,14,tbtnPreview,Ön İzleme,,,,,,,,,,,,,
412,,2,14,tbtnPrint,Print,,,,,,,,,,,,,
413,,2,14,tbtnDesigner,Dizayn,,,,,,,,,,,,,
414,,2,14,ToolButton6,Excel,,,,,,,,,,,,,
415,,2,14,ToolButton7,Grup Kapa,,,,,,,,,,,,,
416,,2,14,ToolButton2,Başlangıç Ayarı,,,,,,,,,,,,,
417,,2,14,ToolButton3,Genişlik Ayarı,,,,,,,,,,,,,
418,,2,14,yenile,Yenile,,,,,,,,,,,,,
419,,2,14,ToolButton1,Ok,,,,,,,,,,,,,
420,,2,14,ToolButton4,ToolButton4,,,,,,,,,,,,,
421,,2,14,ToolButton9,Grup Aç,,,,,,,,,,,,,
422,,2,14,ToolButton8,Grup Kapa,,,,,,,,,,,,,
423,,2,14,ToolButton5,Grup Aç,,,,,,,,,,,,,
424,,2,14,butcik,Çıkış - ESC,,,,,,,,,,,,,
425,,2,14,cxButton2,Hesaba Aktar,,True,,,,,,,,,,,
426,,2,14,cxButton3,Yeni Slip Giriş,,True,,,,,,,,,,,
427,,2,14,butyeni,Yeni Pos,,True,,,,,,,,,,,
428,,2,14,butbildeg,Bilgi Değiştir,,True,,,,,,,,,,,
429,,2,14,buthrk,Hareket Dökümü,,True,,,,,,,,,,,
430,,2,14,YaniTank1,Yeni Kart,,True,,,,,,,,,,,
431,,2,14,Bilgincele1,Bilgi İncele,,,,,,,,,,,,,
432,,2,14,FAtura1,Bilgi Değiştir,,True,,,,,,,,,,,
433,,2,14,HareketDkm1,Hareket Dökümü,,True,,,,,,,,,,,
434,,2,14,YeniSlip1,Yeni Slip,,True,,,,,,,,,,,
435,,2,14,HesabaAktar1,Hesaba Aktar,,True,,,,,,,,,,,
436,,2,14,N1,-,,,,,,,,,,,,,
437,,2,14,ankSil1,Kart Sil,,True,,,,,,,,,,,
438,,2,14,SilinmiKartGeriAl1,Silinmiş Kartı Geri Al,,True,,,,,,,,,,,
439,,2,14,N2,-,,,,,,,,,,,,,
440,,2,14,Silinmi1,Silinmiş Kayıtları Göster,,True,,,,,,,,,,,
441,,2,15,tbtnPageSetup,Sayfa Ayarı,,,,,,,,,,,,,
442,,2,15,tbtnPreview,Ön İzleme,,,,,,,,,,,,,
443,,2,15,tbtnPrint,Print,,,,,,,,,,,,,
444,,2,15,tbtnDesigner,Dizayn,,,,,,,,,,,,,
445,,2,15,ToolButton6,Excel,,,,,,,,,,,,,
446,,2,15,ToolButton7,Grup Kapa,,,,,,,,,,,,,
447,,2,15,ToolButton8,Grup Kapa,,,,,,,,,,,,,
448,,2,15,ToolButton9,Grup Aç,,,,,,,,,,,,,
449,,2,15,ToolButton10,ToolButton4,,,,,,,,,,,,,
