id,firmano,yetkiid,bolumid,frmid,kontid,havuz,deguser,degtarsaat,olususer,olustarsaat,Modul,Rap_id
340,,2,4,4,155,,,,,,,0
341,,2,4,4,157,,,,,,,0
342,,2,4,4,1492,,,,,,,0
343,,2,4,30,958,,,,,,,0
344,,2,4,30,965,,,,,,,0
345,,2,4,82,1401,,,,,,,0
346,,2,4,82,1402,,,,,,,0
347,,2,4,82,1403,,,,,,,0
348,,2,4,82,1404,,,,,,,0
349,,2,4,82,1405,,,,,,,0
350,,2,4,82,1406,,,,,,,0
351,,2,4,82,1407,,,,,,,0
352,,2,4,82,1408,,,,,,,0
353,,2,4,82,1409,,,,,,,0
354,,2,4,82,1410,,,,,,,0
355,,2,4,91,1470,,,,,,,0
356,,2,4,91,1471,,,,,,,0
357,,2,4,91,1472,,,,,,,0
358,,2,4,91,1473,,,,,,,0
359,,2,4,91,1474,,,,,,,0
360,,2,4,91,1475,,,,,,,0
361,,2,4,91,1476,,,,,,,0
362,,2,4,91,1477,,,,,,,0
363,,2,4,93,1499,,,,,,,0
364,,2,4,93,1500,,,,,,,0
365,,2,4,93,1501,,,,,,,0
366,,2,4,93,1502,,,,,,,0
367,,2,4,93,1503,,,,,,,0
368,,2,4,93,1504,,,,,,,0
369,,2,4,95,1511,,,,,,,0
370,,2,4,96,1512,,,,,,,0
371,,2,4,96,1513,,,,,,,0
372,,2,4,96,1514,,,,,,,0
373,,2,4,96,1518,,,,,,,0
374,,2,4,97,1515,,,,,,,0
375,,2,4,97,1516,,,,,,,0
376,,2,4,97,1517,,,,,,,0
377,,2,4,97,1519,,,,,,,0
378,,2,5,31,1015,,,,,,,0
379,,2,5,31,1016,,,,,,,0
380,,2,5,32,1031,,,,,,,0
381,,2,5,32,1032,,,,,,,0
382,,2,5,32,1033,,,,,,,0
383,,2,5,32,1034,,,,,,,0
384,,2,5,32,1035,,,,,,,0
385,,2,5,32,1281,,,,,,,0
386,,2,5,32,1282,,,,,,,0
387,,2,5,32,1283,,,,,,,0
388,,2,5,32,1284,,,,,,,0
389,,2,5,33,1036,,,,,,,0
390,,2,5,33,1037,,,,,,,0
391,,2,5,33,1038,,,,,,,0
392,,2,5,33,1040,,,,,,,0
393,,2,5,33,1041,,,,,,,0
394,,2,5,33,1055,,,,,,,0
395,,2,5,33,1056,,,,,,,0
396,,2,5,33,1058,,,,,,,0
397,,2,5,33,1059,,,,,,,0
398,,2,5,33,1060,,,,,,,0
399,,2,5,33,1061,,,,,,,0
400,,2,5,33,1062,,,,,,,0
401,,2,5,33,1063,,,,,,,0
402,,2,5,33,1064,,,,,,,0
403,,2,5,33,1065,,,,,,,0
404,,2,5,33,1067,,,,,,,0
405,,2,5,33,1068,,,,,,,0
406,,2,5,33,1070,,,,,,,0
407,,2,5,94,1506,,,,,,,0
408,,2,5,94,1507,,,,,,,0
409,,2,5,94,1508,,,,,,,0
410,,2,5,94,1509,,,,,,,0
